# SIMULATION: fluxes
# MODEL_VERSION: 5.0.1
YEAR	MONTH	DAY	OUT_PREC	 OUT_RAINF	 OUT_SNOWF	 OUT_AIR_TEMP	 OUT_SWDOWN	 OUT_LWDOWN	 OUT_PRESSURE	 OUT_WIND	 OUT_DENSITY	 OUT_REL_HUMID	 OUT_QAIR	 OUT_VP	 OUT_VPD	 OUT_RUNOFF	 OUT_BASEFLOW	 OUT_EVAP	 OUT_SWE	 OUT_SOIL_MOIST_0	 OUT_SOIL_MOIST_1	 OUT_SOIL_MOIST_2	 OUT_ALBEDO	 OUT_SOIL_TEMP_0	 OUT_SOIL_TEMP_1	 OUT_SOIL_TEMP_2
1949	01	01	4.0488	 0.0659	 3.9829	 -9.5276	 39.4382	 220.0001	 81.8264	 4.4900	 1.0815	 69.7484	 0.0014	 0.1799	 0.1017	 0.0022	 0.3664	 0.5737	 2.1865	 15.4537	 46.3271	 154.0656	 0.8225	 -8.1585	 -6.5052	 -5.0306
1949	01	02	0.0000	 0.0000	 0.0000	 -13.4942	 61.6145	 177.1149	 81.5482	 2.6600	 1.0946	 59.2556	 0.0007	 0.0952	 0.1210	 0.0000	 0.3656	 0.1486	 2.1229	 15.4466	 46.3271	 153.7070	 0.5913	 -13.1274	 -12.2580	 -9.6501
1949	01	03	0.0000	 0.0000	 0.0000	 -18.0142	 45.3297	 185.1597	 81.2368	 0.6400	 1.1093	 76.5872	 0.0007	 0.0935	 0.0328	 0.0000	 0.3647	 -0.0021	 2.1104	 15.4395	 46.3271	 153.3492	 0.5315	 -17.0955	 -15.5492	 -12.2931
1949	01	04	0.0000	 0.0000	 0.0000	 -17.1740	 26.9716	 210.8265	 81.2977	 2.0100	 1.1065	 85.9480	 0.0009	 0.1151	 0.0200	 0.0000	 0.3639	 0.0020	 2.0994	 15.4325	 46.3271	 152.9924	 0.5309	 -17.0058	 -16.1858	 -12.8042
1949	01	05	0.4488	 0.0000	 0.4488	 -14.2423	 31.2141	 216.4266	 81.5036	 1.8800	 1.0968	 87.9421	 0.0012	 0.1557	 0.0245	 0.0000	 0.3630	 -0.0197	 2.4388	 15.4256	 46.3270	 152.6364	 0.8500	 -14.5294	 -14.2385	 -11.2406
1949	01	06	5.0496	 0.4632	 4.5864	 -7.1883	 46.1070	 222.1899	 81.9807	 3.0900	 1.0741	 66.9750	 0.0015	 0.2032	 0.1560	 0.0225	 0.3622	 0.2854	 6.5634	 15.6039	 46.3277	 152.2812	 0.8302	 -7.9057	 -8.2717	 -6.4491
1949	01	07	2.7744	 0.3302	 2.4442	 -8.3147	 48.2873	 215.1669	 81.9015	 5.5000	 1.0779	 57.1496	 0.0011	 0.1441	 0.2004	 0.0166	 0.3614	 0.6671	 8.6350	 15.7244	 46.3319	 151.9269	 0.8253	 -8.0887	 -7.5393	 -5.8610
1949	01	08	0.0000	 0.0000	 0.0000	 -17.8422	 57.4027	 174.1664	 81.2481	 2.1900	 1.1088	 67.7383	 0.0006	 0.0816	 0.0490	 0.0000	 0.3605	 0.0402	 8.6113	 15.7100	 46.3392	 151.5734	 0.6544	 -16.3153	 -14.2117	 -11.2190
1949	01	09	0.0000	 0.0000	 0.0000	 -21.2271	 58.9961	 163.6374	 81.0021	 0.3600	 1.1203	 71.7588	 0.0005	 0.0624	 0.0325	 0.0000	 0.3597	 -0.0016	 8.6031	 15.6963	 46.3459	 151.2208	 0.6533	 -20.6626	 -19.3270	 -15.3267
1949	01	10	0.0000	 0.0000	 0.0000	 -19.6507	 61.0988	 166.5952	 81.1165	 0.3200	 1.1149	 71.7654	 0.0006	 0.0729	 0.0388	 0.0000	 0.3588	 -0.0021	 8.5941	 15.6830	 46.3521	 150.8691	 0.6525	 -19.6511	 -18.8968	 -14.9812
