# SIMULATION: fluxes
# MODEL_VERSION: 5.0.1
YEAR	MONTH	DAY	OUT_PREC	 OUT_RAINF	 OUT_SNOWF	 OUT_AIR_TEMP	 OUT_SWDOWN	 OUT_LWDOWN	 OUT_PRESSURE	 OUT_WIND	 OUT_DENSITY	 OUT_REL_HUMID	 OUT_QAIR	 OUT_VP	 OUT_VPD	 OUT_RUNOFF	 OUT_BASEFLOW	 OUT_EVAP	 OUT_SWE	 OUT_SOIL_MOIST_0	 OUT_SOIL_MOIST_1	 OUT_SOIL_MOIST_2	 OUT_ALBEDO	 OUT_SOIL_TEMP_0	 OUT_SOIL_TEMP_1	 OUT_SOIL_TEMP_2
1949	01	01	4.3752	 0.0000	 4.3752	 -9.5240	 29.3880	 232.2997	 87.3518	 4.5300	 1.1544	 75.1180	 0.0014	 0.1986	 0.0776	 0.0034	 0.2618	 0.5770	 2.4837	 15.4632	 46.3271	 154.1702	 0.8251	 -8.1210	 -6.3290	 -3.7592
1949	01	02	0.0000	 0.0000	 0.0000	 -14.0860	 56.7041	 178.8581	 87.1185	 2.6300	 1.1718	 64.7722	 0.0008	 0.1055	 0.0870	 0.0000	 0.2614	 0.1707	 2.3704	 15.4561	 46.3272	 153.9158	 0.5963	 -13.3973	 -12.1005	 -8.0831
1949	01	03	0.0000	 0.0000	 0.0000	 -17.8354	 59.0161	 165.8310	 86.9212	 0.6900	 1.1865	 65.3436	 0.0005	 0.0758	 0.0643	 0.0000	 0.2610	 0.0296	 2.3326	 15.4489	 46.3272	 153.6619	 0.5337	 -17.3770	 -16.1566	 -11.1218
1949	01	04	0.0000	 0.0000	 0.0000	 -16.1569	 48.3952	 185.3185	 87.0131	 2.0500	 1.1797	 75.6664	 0.0008	 0.1097	 0.0426	 0.0000	 0.2605	 0.0456	 2.2709	 15.4419	 46.3272	 153.4084	 0.5234	 -15.9776	 -15.0771	 -10.3131
1949	01	05	2.9496	 0.0000	 2.9496	 -13.1155	 36.1007	 212.1898	 87.1700	 1.8900	 1.1680	 79.6321	 0.0011	 0.1541	 0.0483	 0.0000	 0.2601	 0.0650	 4.8681	 15.4348	 46.3272	 153.1553	 0.8500	 -13.3389	 -12.9229	 -8.6993
1949	01	06	5.1744	 0.0000	 5.1744	 -9.9131	 26.8626	 236.5120	 87.3328	 3.1600	 1.1559	 82.4245	 0.0015	 0.2133	 0.0511	 0.0000	 0.2597	 0.0235	 9.8859	 15.4279	 46.3271	 152.9027	 0.8500	 -10.0123	 -9.5985	 -6.2087
1949	01	07	2.1240	 0.1577	 1.9663	 -7.8157	 42.4259	 223.0123	 87.4346	 5.6600	 1.1482	 67.6789	 0.0014	 0.1982	 0.1343	 0.0052	 0.2592	 0.4349	 11.6253	 15.4642	 46.3271	 152.6505	 0.8331	 -7.8458	 -7.4446	 -4.5950
1949	01	08	0.0000	 0.0000	 0.0000	 -14.6716	 60.0077	 177.4675	 87.0886	 2.1500	 1.1740	 64.1195	 0.0007	 0.0997	 0.0817	 0.0000	 0.2588	 0.0435	 11.6015	 15.4570	 46.3273	 152.3987	 0.6631	 -13.6158	 -11.9574	 -7.9759
1949	01	09	0.0000	 0.0000	 0.0000	 -20.1423	 62.0670	 160.4083	 86.7995	 0.3500	 1.1955	 65.6813	 0.0004	 0.0610	 0.0487	 0.0000	 0.2584	 -0.0015	 11.5941	 15.4498	 46.3274	 152.1474	 0.6615	 -19.3681	 -17.7704	 -12.3309
1949	01	10	0.0000	 0.0000	 0.0000	 -18.5972	 62.2492	 165.4528	 86.8821	 0.3700	 1.1894	 66.7928	 0.0005	 0.0731	 0.0541	 0.0000	 0.2580	 -0.0023	 11.5842	 15.4427	 46.3274	 151.8964	 0.6604	 -18.5420	 -17.6673	 -12.2536
